CustomerID,Gender,Age,TenureMonths,ContractType,InternetService,PaymentMethod,MonthlyCharges,TotalCharges,SupportCallsLast6M,TechSupport,OnlineSecurity,Region,Churned,ChurnFlag,ChurnRiskScore,RiskSegment
CUST5000,Female,33,25,Two year,Fiber,Electronic Check,3063.79,78303.32,0,Yes,No,East,No,0,0.298,Low
CUST5001,Female,25,27,One year,Fiber,Electronic Check,3107.68,87006.52,2,No,No,East,Yes,1,0.384,Medium
CUST5002,Male,57,9,One year,No Internet,Credit Card,939.09,7615.3,1,No,No,West,No,0,0.286,Low
CUST5003,Male,55,68,Month-to-month,Fiber,Electronic Check,2858.44,198045.69,2,No,Yes,Central,No,0,0.637,Medium
CUST5004,Female,41,22,Month-to-month,DSL,Electronic Check,2474.26,55662.5,0,No,No,West,Yes,1,0.669,High
CUST5005,Female,59,5,One year,Fiber,Credit Card,3116.07,14305.17,3,Yes,Yes,South,No,0,0.467,Medium
CUST5006,Female,53,57,Month-to-month,No Internet,Credit Card,2793.33,164111.54,3,Yes,No,West,Yes,1,0.641,Medium
CUST5007,Male,25,6,Month-to-month,DSL,Electronic Check,1509.59,9470.15,4,No,Yes,South,Yes,1,0.816,High
CUST5008,Female,51,49,Month-to-month,DSL,Bank Transfer,3072.94,142663.77,3,Yes,Yes,Central,No,0,0.62,Medium
CUST5009,Female,50,67,Month-to-month,Fiber,Bank Transfer,3026.91,205520.02,1,Yes,No,Central,Yes,1,0.508,Medium
CUST5010,Female,20,17,One year,No Internet,Bank Transfer,2266.51,38850.09,3,No,No,East,No,0,0.338,Medium
CUST5011,Female,56,13,Two year,Fiber,Credit Card,1116.77,14933.39,3,No,No,North,No,0,0.304,Low
CUST5012,Male,45,55,Two year,Fiber,Credit Card,1800.99,102756.18,2,Yes,No,West,No,0,0.206,Low
CUST5013,Male,50,34,Month-to-month,No Internet,UPI Autopay,1016.66,34769.86,1,Yes,Yes,West,No,0,0.601,Medium
CUST5014,Male,54,18,Month-to-month,DSL,Credit Card,2252.86,36656.52,3,No,No,West,No,0,0.727,High
CUST5015,Male,64,37,Month-to-month,DSL,Credit Card,2656.15,92589.08,1,No,No,East,Yes,1,0.543,Medium
CUST5016,Male,31,12,Month-to-month,Fiber,Bank Transfer,1241.95,13809.44,2,Yes,No,South,Yes,1,0.718,High
CUST5017,Female,60,38,Month-to-month,Fiber,Credit Card,901.82,35561.91,2,Yes,No,North,No,0,0.61,Medium
CUST5018,Male,49,54,Month-to-month,DSL,Bank Transfer,3149.79,171486.58,1,No,No,West,No,0,0.495,Medium
CUST5019,Male,60,18,Two year,Fiber,UPI Autopay,1102.33,18058.82,3,No,No,West,No,0,0.334,Medium
CUST5020,Male,59,62,One year,No Internet,UPI Autopay,305.41,19825.04,1,Yes,No,South,No,0,0.157,Low
CUST5021,Female,59,69,Two year,Fiber,Bank Transfer,993.22,69377.5,1,No,Yes,South,Yes,1,0.118,Low
CUST5022,Female,63,3,Month-to-month,Fiber,Electronic Check,1344.04,3799.59,2,Yes,No,West,Yes,1,0.836,High
CUST5023,Female,61,37,Two year,Fiber,Credit Card,2734.22,92677.07,1,Yes,No,North,No,0,0.213,Low
CUST5024,Male,26,52,Month-to-month,DSL,UPI Autopay,1339.47,66570.91,1,No,No,South,Yes,1,0.449,Medium
CUST5025,Male,21,63,Month-to-month,DSL,Bank Transfer,1014.63,66165.81,1,No,No,East,Yes,1,0.388,Medium
CUST5026,Male,66,46,Month-to-month,Fiber,Bank Transfer,2359.22,107536.8,3,No,Yes,South,No,0,0.655,Medium
CUST5027,Female,48,14,One year,Fiber,Electronic Check,552.2,7591.81,3,No,No,Central,No,0,0.445,Medium
CUST5028,Male,65,7,Two year,Fiber,UPI Autopay,3318.81,24198.47,0,No,No,West,Yes,1,0.322,Low
CUST5029,Male,23,24,One year,Fiber,UPI Autopay,2087.77,49171.42,0,Yes,Yes,West,No,0,0.234,Low
CUST5030,Female,65,64,Month-to-month,DSL,Credit Card,3068.55,201259.55,3,No,No,West,No,0,0.541,Medium
CUST5031,Female,27,68,Two year,DSL,Credit Card,3327.36,227331.62,0,No,No,South,No,0,0.081,Low
CUST5032,Female,55,59,Month-to-month,Fiber,Bank Transfer,1429.66,83840.8,3,Yes,No,East,No,0,0.598,Medium
CUST5033,Female,35,42,One year,DSL,UPI Autopay,1428.79,58854.12,1,No,No,Central,No,0,0.162,Low
CUST5034,Female,61,39,Two year,DSL,Credit Card,483.02,17655.24,0,Yes,No,South,No,0,0.123,Low
CUST5035,Female,55,30,Month-to-month,DSL,UPI Autopay,650.37,18443.24,0,Yes,Yes,South,No,0,0.469,Medium
CUST5036,Female,49,56,Month-to-month,Fiber,Electronic Check,3205.74,163957.93,1,Yes,Yes,Central,Yes,1,0.664,High
CUST5037,Male,45,13,One year,DSL,Electronic Check,2710.65,32249.17,6,Yes,Yes,West,Yes,1,0.628,Medium
CUST5038,Male,40,51,One year,DSL,Electronic Check,2698.44,142562.76,1,No,Yes,Central,Yes,1,0.217,Low
CUST5039,Male,52,44,Two year,DSL,Electronic Check,1171.12,46478.65,1,No,Yes,West,No,0,0.206,Low
CUST5040,Male,33,8,Two year,DSL,Electronic Check,3461.98,27829.02,2,No,No,Central,No,0,0.447,Medium
CUST5041,Female,50,24,Two year,Fiber,Bank Transfer,2552.89,60995.81,1,Yes,No,North,No,0,0.244,Low
CUST5042,Male,67,21,Month-to-month,Fiber,UPI Autopay,484.73,9334.46,2,No,No,West,Yes,1,0.682,High
CUST5043,Male,51,6,Two year,Fiber,Credit Card,1037.02,6053.36,2,No,No,North,No,0,0.287,Low
CUST5044,Female,44,67,One year,Fiber,UPI Autopay,856.27,52277.91,1,No,No,East,No,0,0.132,Low
CUST5045,Male,56,1,Month-to-month,No Internet,Credit Card,2524.5,2578.91,3,No,Yes,Central,Yes,1,0.818,High
CUST5046,Female,48,61,Two year,DSL,UPI Autopay,3369.49,199606.45,2,No,No,Central,No,0,0.149,Low
CUST5047,Male,20,6,Month-to-month,Fiber,Credit Card,1110.17,6753.02,2,No,No,West,Yes,1,0.727,High
CUST5048,Female,51,56,Month-to-month,DSL,UPI Autopay,1245.1,70292.7,3,No,No,Central,No,0,0.555,Medium
CUST5049,Male,48,21,Month-to-month,DSL,Credit Card,3064.4,57918.57,1,No,No,South,Yes,1,0.634,Medium
CUST5050,Male,50,42,One year,DSL,Electronic Check,3440.02,130517.87,1,Yes,No,South,Yes,1,0.281,Low
CUST5051,Male,51,25,Month-to-month,No Internet,UPI Autopay,1285.52,30829.23,1,No,Yes,North,Yes,1,0.583,Medium
CUST5052,Male,43,56,Month-to-month,Fiber,Electronic Check,1350.07,69324.32,2,Yes,Yes,East,Yes,1,0.658,Medium
CUST5053,Female,41,64,Month-to-month,Fiber,Bank Transfer,1640.64,100858.21,3,Yes,No,East,Yes,1,0.577,Medium
